time,f_b_est_x,f_b_est_y,f_b_est_z,dot_omega_b_est_x,dot_omega_b_est_y,dot_omega_b_est_z,r_rel_est_x,r_rel_est_y,r_rel_est_z,euler_est_x,euler_est_y,euler_est_z
0.0041,-12.448362402509224,-9.854225930061124e-05,9.700269417349174,-0.01582717150241804,-1.3820158106911005,0.023762775402743557,1.2938498404223064e-07,1.0242227641243e-12,-1.0082203309099575e-07,1.4224811499168348e-10,1.2420987349770485e-08,-2.1357007831752015e-10
0.0042,-12.757504462117497,-0.000122881093010526,9.6942783777219,-0.01973641414729622,-1.4165967388997989,0.026659557997781608,1.3259812477596284e-07,1.2771931463380934e-12,-1.0075976382502863e-07,1.773827280946358e-10,1.273178629190852e-08,-2.3960502934919394e-10
0.0043,-13.066713386966605,-0.00014463445809042913,9.688287343230842,-0.02323091529537524,-1.4511774241699025,0.018816546522632104,1.3581196048668426e-07,1.5032929908636708e-12,-1.0069749461139861e-07,2.087899717373319e-10,1.3042583457689716e-08,-1.6911537424776472e-10
0.0044,-13.375877856534958,-3.3727662330456794e-05,9.682296302019633,-0.005416545142740157,-1.485758350708102,0.018113113915010692,1.390253341406093e-07,3.5055585952183194e-13,-1.0063522533059038e-07,4.8681627973698206e-11,1.3353382399827751e-08,-1.6279313133028721e-10
0.0045,-13.685103176731241,-6.471164266544512e-05,9.676305266299543,-0.010393897201395637,-1.520339114764504,0.0076367331452493765,1.4223934025840894e-07,6.725962084077262e-13,-1.0057295610486469e-07,9.341611330963005e-11,1.3664180009698157e-08,-6.863587291914223e-11
0.0046,-13.99423619134831,-0.00010066057293964278,9.670314229713563,-0.01616791782994482,-1.5549199073292992,0.011986339484776929,1.4545238697680694e-07,1.046239426981408e-12,-1.0051068687190536e-07,1.453105546510069e-10,1.3974978063657773e-08,-1.0772819990020686e-10
0.0047,-14.303381589252199,-0.00015152161591419408,9.664323190066854,-0.024337341778831085,-1.5895011037002151,0.01434699969077623,1.4866556240141028e-07,1.5748762282534357e-12,-1.0044841760785814e-07,2.1873384430248248e-10,1.4285779448286462e-08,-1.2894494132863198e-10
0.0048,-14.61253601041744,-5.264936687084148e-05,9.6583321520955,-0.008455912458152469,-1.624081923090258,0.015257593617307413,1.518788316112953e-07,5.472236566951063e-13,-1.0038614836134925e-07,7.599818122208096e-11,1.4596577502246078e-08,-1.3712904619018607e-10
0.0049,-14.921699559513783,-9.20608567224175e-05,9.652341115914487,-0.014786398935785138,-1.6586624074263114,0.014702852006816796,1.5509219569376045e-07,9.56856559327918e-13,-1.0032387913319691e-07,1.3289410843761444e-10,1.490737266962583e-08,-1.321431379047821e-10
0.005,-15.230874320280112,-0.00014483190615201976,9.64635007652679,-0.023262847563374885,-1.6932432821623378,0.012347342127825213,1.5830567630590937e-07,1.5053444067243235e-12,-1.0026160987290532e-07,2.0907680476965608e-10,1.5218171167674654e-08,-1.1097271753464653e-10
0.0051,-15.538967808846511,-0.00011741477212144631,9.63940728974396,-0.01885927296668827,-1.7278049309756767,0.007353257612669981,1.615079184595436e-07,1.2203783836905087e-12,-1.0018944840073963e-07,1.6949945805461066e-10,1.5528797137065453e-08,-6.608792589135226e-11
0.0052,-15.846524983934938,-0.00014567141827256393,9.632086029832667,-0.02339728565911449,-1.762358004817082,0.018388230107261438,1.6470458631191048e-07,1.5140696841546601e-12,-1.0011335318031234e-07,2.1028512125153676e-10,1.5839345834933738e-08,-1.6526571571881967e-10
0.0053,-16.1541097009456,-0.00018592322192347732,9.624764768063077,-0.02986229241193502,-1.7969120705547983,0.025001052846491945,1.6790154042644685e-07,1.932436794931994e-12,-1.0003725794075844e-07,2.6838999213400986e-10,1.6149903636630825e-08,-2.2469916997433844e-10
0.0054,-16.46180271070513,-0.00022918093655995697,9.61744350676862,-0.03681119766534494,-1.8314651712162195,0.014220016386943445,1.7109962010606702e-07,2.3820464432728142e-12,-9.99611627064656e-08,3.308438039881605e-10,1.6460452556543714e-08,-1.2780357785100383e-10
0.0055,-16.769433722889612,-0.0001236628788532725,9.610122245935768,-0.019862433309046735,-1.8660188884665234,0.013396208241961565,1.742970553974417e-07,1.2853189485273406e-12,-9.988506747820176e-08,1.7851541238370335e-10,1.6771007027571727e-08,-1.2039964852179881e-10
0.0056,-17.0770475494254,-0.0001726993541412975,9.60280098439483,-0.02773876863086122,-1.9005726593804266,0.015333526150729854,1.7749431206642867e-07,1.7949917114933573e-12,-9.980897224192534e-08,2.493044737539614e-10,1.708156194268895e-08,-1.3781137857931834e-10
0.0057,-17.38468318235347,-0.00023272022037793452,9.595479730676795,-0.03737967705154935,-1.9351258405504528,0.013768350561055498,1.8069179538292272e-07,2.4188319995425385e-12,-9.973287708631091e-08,3.3595307584104386e-10,1.739211175078026e-08,-1.2374411499957303e-10
0.0058,-17.692300553585476,-0.00015568578855099934,9.588158466591045,-0.02500594382197778,-1.9696790619390745,0.015135608616125994,1.8388908889009826e-07,1.6181570238111185e-12,-9.96567818249874e-08,2.2474309270426524e-10,1.7702661780916173e-08,-1.3603246219770313e-10
0.0059,-17.99997913368329,-0.00021707959671919805,9.580837208980265,-0.03486787339500685,-2.0042326871373723,0.0066723267316211735,1.8708701858551372e-07,2.2562686448101776e-12,-9.958068663131872e-08,3.1337798118268847e-10,1.801321558581037e-08,-5.99679706317439e-11
0.006,-18.307524824935044,-0.00014525965809187316,9.57351594464851,-0.023330882499960494,-2.0387865352180192,0.01955274384967662,1.902835670682755e-07,1.5097914002494733e-12,-9.950459136738651e-08,2.096883921502495e-10,1.832377116706141e-08,-1.757319408407503e-10
0.0061,-18.613880969044143,-0.0001569842826242112,9.565257154068938,-0.025214583983214023,-2.073317146313476,0.013219764514506925,1.9346775171056571e-07,1.6316538539101967e-12,-9.941875170372152e-08,2.2661832474809013e-10,1.8634118026383817e-08,-1.1881365752387867e-10
0.0062,-18.919695521802538,-8.934238019943273e-05,9.55662554262643,-0.014349841986998981,-2.107838399971329,0.010256498653568391,1.9664630719619062e-07,9.286012706589269e-13,-9.932903703951679e-08,1.289703305673357e-10,1.8944380730800958e-08,-9.218122578044611e-11
0.0063,-19.22547909539011,-0.00018854706316895234,9.547993932995386,-0.03028439894003155,-2.142359276699863,0.012269898720880697,1.9982454068976127e-07,1.959707832655431e-12,-9.923932239314796e-08,2.7218361704664456e-10,1.925464032659363e-08,-1.1027671230124523e-10
0.0064,-19.531268648494986,-0.0001462051641319652,9.539362323837794,-0.023483122755951387,-2.176880785086815,0.013322088291602988,2.030028363332154e-07,1.5196174800885672e-12,-9.914960775295934e-08,2.1105650591394812e-10,1.956490525145682e-08,-1.197333867279958e-10
0.0065,-19.837063964648557,-0.0001047175984662406,9.530730710293264,-0.016819177403190427,-2.2114021175729204,0.01344864689488762,2.0618119187329474e-07,1.0884063684476587e-12,-9.905989306750757e-08,1.511638131689482e-10,1.9875168844052382e-08,-1.2087084042709634e-10
0.0066,-20.14286461041128,-0.00021356785657870427,9.522099102084008,-0.034303283690685915,-2.245923290932448,0.012719970501336436,2.0935960280605289e-07,2.21976849534296e-12,-9.897017843858685e-08,3.083038351089035e-10,2.018543088233571e-08,-1.1432180788949354e-10
0.0067,-20.44870439590707,-0.0001860482502853827,9.513467493146972,-0.029883493539042582,-2.280444504504221,0.00570396469248488,2.1253842054792238e-07,1.9337363958970704e-12,-9.888046380198402e-08,2.685803975956239e-10,2.049569314266364e-08,-5.126479173958404e-11
0.0068,-20.75448130883105,-0.00016902234417911526,9.504835882383178,-0.027148442427837684,-2.3149651417642714,0.008786518561466812,2.157165848050743e-07,1.7567735386031661e-12,-9.879074914461367e-08,2.4399901319218146e-10,2.0805950518010263e-08,-7.896948216808372e-11
0.0069,-21.0602951176459,-0.00016904605192596646,9.49620427073479,-0.027152491648696014,-2.349487362352531,0.005942897106080821,2.188951325474442e-07,1.7570206550504275e-12,-9.870103448105551e-08,2.4403546989297286e-10,2.1116221882166997e-08,-5.341226306345509e-11
0.007,-21.366050254297566,-3.231884302818498e-05,9.487572662079167,-0.005190156845822865,-2.384008279459554,0.012523892472385988,2.220730704665849e-07,3.3591439700798296e-13,-9.861131984767382e-08,4.664693821865137e-11,2.1426481700004274e-08,-1.1255957749285946e-10
0.0071,-21.67105547993115,-0.00012007949630090571,9.478446595543167,-0.01928703902505952,-2.418514641861979,0.008113330269520885,2.252432140063871e-07,1.2480752792623989e-12,-9.851646594999193e-08,1.7334393276186034e-10,2.1736610511524646e-08,-7.291920817696588e-11
0.0072,-21.975522065340524,-0.00021001853771179753,9.469013265177653,-0.033733411597875775,-2.453012734212062,0.008539462732411855,2.284077590611221e-07,2.182876523771212e-12,-9.841841843371796e-08,3.0318200011438377e-10,2.2046665160146972e-08,-7.674909846683028e-11
0.0073,-22.279807729189805,-0.00019287046683969832,9.45945094523631,-0.030979435030381784,-2.4875065893268324,0.0037369321978626352,2.3157042366291853e-07,2.004645449761747e-12,-9.831903023507487e-08,2.7843039655626654e-10,2.235668161709725e-08,-3.358593386975897e-11
0.0074,-22.583797003124413,-5.1080334352056376e-05,9.449759640452557,-0.008203682018522701,-2.521997039940673,0.012250604944567653,2.347300076659294e-07,5.309160382869165e-13,-9.821830140204402e-08,7.373123784926843e-11,2.266666743189205e-08,-1.1010339425991219e-10
0.0075,-22.887623152778172,-6.699018197088788e-05,9.439939346145831,-0.010759125761013493,-2.556483285177125,0.012677102655699898,2.3788789619522612e-07,6.962774625191413e-13,-9.811623188482108e-08,9.66985417825544e-11,2.297661572114862e-08,-1.1393653991437554e-10
0.0076,-23.191231541691405,-0.00014474829349597515,9.429990064666853,-0.023248905251619396,-2.590966512943686,0.013791261871209473,2.410435213770959e-07,1.504475412613579e-12,-9.801282171033434e-08,2.0895146848412742e-10,2.328653669891878e-08,-1.239500687854294e-10
0.0077,-23.494631903179847,-0.00022484251023266534,9.419911795808007,-0.0361139379156615,-2.6254451549991544,0.014029698904714566,2.441969843748463e-07,2.336953565697573e-12,-9.790807087564258e-08,3.245771206207965e-10,2.359641659843703e-08,-1.2609303946334732e-10
0.0078,-23.797860318710654,-0.00019088601999467657,9.409704538596642,-0.030660293605901192,-2.6599201914615267,0.007597854510174426,2.473486602095779e-07,1.9840195545740535e-12,-9.780197937131699e-08,2.755620721419791e-10,2.3906263857398358e-08,-6.828630880243228e-11
0.0079,-24.10080864484294,-0.0001991154126096292,9.39936829302058,-0.03198171134108433,-2.6943916022821757,0.011864811724262389,2.5049742486934755e-07,2.0695524783495956e-12,-9.769454719431583e-08,2.8743839952478184e-10,2.4216078697847365e-08,-1.0663593384443771e-10
0.008,-24.403600528463166,-0.0002221716001634979,9.388903063755892,-0.03568555131764174,-2.7288586351304396,0.00697061425146651,2.5364456350346344e-07,2.3091922305414766e-12,-9.758577439706984e-08,3.207270020058751e-10,2.4525854014356696e-08,-6.26488415908455e-11
0.0081,-24.70604076892508,-0.00016164448464812967,9.378332623478812,-0.02596302153976705,-2.7633207120021033,0.010717724029224994,2.567880472514593e-07,1.6800893639958612e-12,-9.747590806465068e-08,2.333449841303825e-10,2.4835584921945042e-08,-9.632635526448924e-11
0.0082,-25.008254973063167,-0.0001409366055669846,9.367647971634236,-0.02263708093030877,-2.797778633755237,0.008061177453504972,2.5992918163583144e-07,1.4648570245459988e-12,-9.736485464520366e-08,2.0345263115024777e-10,2.514527852603976e-08,-7.245047811614382e-11
0.0083,-25.31019729249862,-0.00016309252957839133,9.356840528416251,-0.026195549039485747,-2.8322319982904336,0.01125139244591586,2.630674901197221e-07,1.6951403395756867e-12,-9.72525249671119e-08,2.354346722162213e-10,2.5454931273927173e-08,-1.0112280953090103e-10
0.0084,-25.611958868816885,-6.502575562476675e-05,9.34591030974748,-0.010444163029631427,-2.866680589447871,0.005648590168603717,2.6620392000560563e-07,6.758597459982813e-13,-9.71389191922581e-08,9.386771855632984e-11,2.576454094516123e-08,-5.076717958680781e-11
0.0085,-25.91341197023499,-0.00017359927117228347,9.334857302223275,-0.027883101658135852,-2.9011257509946313,0.011768882841681736,2.693371436849605e-07,1.8043440294366602e-12,-9.702403718389146e-08,2.5060175722690173e-10,2.6074119752195202e-08,-1.0577380270153341e-10
0.0086,-26.214673899737537,-0.00015981794396747106,9.323681510592413,-0.025669586213007342,-2.935566742328387,0.010771178201976714,2.724683803720849e-07,1.6611055952452708e-12,-9.690787899106898e-08,2.3070763672190686e-10,2.6383661255735547e-08,-9.680683980627806e-11
0.0087,-26.515697142305417,-0.00018929548842815133,9.31238293259573,-0.030404417613057507,-2.9700039572089008,0.01028808462265316,2.755971362072911e-07,1.9674866995654134e-12,-9.679044458866789e-08,2.732623575125554e-10,2.6693168564406733e-08,-9.246494778890432e-11
0.0088,-26.816464588774522,-0.00025511114673363135,9.300961569467034,-0.040975726019485695,-3.00443638366645,0.013067626624142816,2.7872323336522163e-07,2.6515580332294015e-12,-9.667173398856829e-08,3.682729654632645e-10,2.700263301846917e-08,-1.1744630441426532e-10
0.0089,-27.117010403724056,-6.348643883826343e-05,9.289417424531521,-0.010196036906125661,-3.038864267940754,0.013620828855485606,2.8184702694116786e-07,6.598605517443749e-13,-9.655174722849271e-08,9.163761985019903e-11,2.73120566163243e-08,-1.2241836114529798e-10
0.009,-27.417341824498763,-0.00021734881301402353,9.277750493116487,-0.034910392801227,-3.0732883573615943,0.010786770223299654,2.8496859215950103e-07,2.259066204865016e-12,-9.643048425994648e-08,3.1376016526903493e-10,2.762144601931027e-08,-9.694695222543435e-11
0.0091,-27.717243319490745,-0.0002342570507635887,9.265941192877927,-0.037626200145082514,-3.1077053428508083,0.011549251920512005,2.880856888414212e-07,2.434806472047393e-12,-9.63077415449071e-08,3.3816863623449014e-10,2.7930771695494627e-08,-1.0379989232202295e-10
0.0092,-28.01682668156773,-0.00012977227817700926,9.253996936573964,-0.02084369140293331,-3.142116006831705,0.008414284642752864,2.9119947893179185e-07,1.3488179046419307e-12,-9.618359613517387e-08,1.8733437377702831e-10,2.8240040528260124e-08,-7.562397210558561e-11
0.0093,-28.31610037528679,-0.00023362198687856703,9.241924786468696,-0.037524299961627004,-3.176521894134936,0.00998659522172777,2.9431005040846164e-07,2.428204715976413e-12,-9.605812142864689e-08,3.372529220435249e-10,2.854926650641687e-08,-8.975522614328371e-11
0.0094,-28.615123502241374,-0.00021036618309509282,9.229724744383445,-0.033789199547381674,-3.2109226478336383,0.006771839737048111,2.9741801755981994e-07,2.186490003459637e-12,-9.593131744931077e-08,3.036832756810814e-10,2.8858446077251187e-08,-6.086242322658234e-11
0.0095,-28.913855569275864,-7.07427741204733e-05,9.217396813306346,-0.01136242368440553,-3.2453178691921076,0.005273968930252097,3.005229595093417e-07,7.352820891315834e-13,-9.580318422454051e-08,1.0212069669479955e-10,2.9167576132138606e-08,-4.7400240447033395e-11
0.0096,-29.212280824120096,-0.00013150855039041216,9.204940979574191,-0.021122567081327665,-3.279708905296581,0.008024666148860967,3.0362471253125066e-07,1.3668644263870603e-12,-9.567372161412792e-08,1.898408927771699e-10,2.9476668661487793e-08,-7.212234462581714e-11
0.0097,-29.51045585016695,-6.981330507862568e-05,9.192357260374415,-0.011213054690858747,-3.3140946067545944,0.005934007293520856,3.0672386474027426e-07,7.256210812343818e-13,-9.554292979571357e-08,1.007783036279434e-10,2.9785713229202315e-08,-5.333241758025527e-11
0.0098,-29.808295055015613,-0.00021111809286410157,9.179645641007186,-0.033909271109869604,-3.348475727563143,0.012749740638497414,3.0981952651127785e-07,2.1943055945508314e-12,-9.541080861662748e-08,3.04762424648758e-10,3.009471649662032e-08,-1.1458939998204405e-10
0.0099,-30.105923621438162,-0.00023833175750054828,9.166806129995367,-0.038280911762270275,-3.3828516980094023,0.008366720281310478,3.129129989604772e-07,2.4771574492271597e-12,-9.527735816637354e-08,3.44052944272257e-10,3.0403673578760504e-08,-7.519650409831567e-11
0.01,-30.403256189213536,-0.00015793928392402864,9.153838727337025,-0.025368138170271472,-3.4172225365477393,0.006493844110730866,3.1600339487439815e-07,1.6415798658342658e-12,-9.514257844421469e-08,2.2799833924753795e-10,3.071258425357826e-08,-5.836392983047073e-11
0.0101,-30.69918321147494,-3.6930324232097206e-05,9.140362240295415,-0.0059309255859059514,-3.451568414085379,0.008228104704743954,3.190791819204898e-07,3.8384348519952055e-13,-9.50025074331844e-08,5.330461578566925e-11,3.1021271107434245e-08,-7.395072763742749e-11
