time,r_rel_x,r_rel_y,r_rel_z,v_rel_x,v_rel_y,v_rel_z,q_x,q_y,q_z,q_w,omega_rel_x,omega_rel_y,omega_rel_z,fiber_1_length,fiber_2_length,fiber_3_length,fiber_4_length,fiber_5_length,fiber_6_length,fiber_7_length,fiber_8_length,fiber_9_length,fiber_10_length,fiber_11_length,fiber_12_length
0.0285,8.03128802215963e-07,2.9482189666400326e-25,-5.311229463910313e-08,2.0549708530164033e-05,-6.222469148505568e-24,2.8737862013975894e-06,1.4140206546066882e-25,4.325658285708114e-08,2.4095962383123134e-26,0.9999999999999992,9.474127753391339e-24,2.921000713687539e-06,2.1097204300030906e-24,0.002999196871680738,0.002999196871680738,0.0030008031292597993,0.0030008031292597993,0.003000000108139615,0.0030000001078061053,0.003000000108139615,0.0030000001078061053,0.0030000538428801744,0.003000052597090633,0.0029999463721253313,0.0029999476179148727
0.0286,8.05156573355528e-07,2.942666670972229e-25,-5.282392805497717e-08,2.0470718675607705e-05,-6.0566142120881e-24,2.876730883861069e-06,1.4186814841654792e-25,4.340239976173699e-08,2.4195886407186e-26,0.9999999999999992,9.430172352618843e-24,2.9196477450831217e-06,2.0809738320549956e-24,0.00299919484390448,0.00299919484390448,0.003000805157025876,0.003000805157025876,0.0030000001086790476,0.0030000001083435686,0.0030000001086790476,0.0030000001083435686,0.0030000535571580163,0.003000052307168948,0.00299994665893457,0.002999947908923639
0.0287,8.071843444950931e-07,2.937114375304426e-25,-5.253556147085121e-08,2.0391728821051377e-05,-5.890759275670632e-24,2.879675566324548e-06,1.42334231372427e-25,4.354821666639284e-08,2.429581043124886e-26,0.999999999999999,9.386216951846348e-24,2.9182947764787042e-06,2.052227234106901e-24,0.002999192816128252,0.002999192816128252,0.0030008071847919806,0.0030008071847919806,0.0030000001092198815,0.003000000108882428,0.0030000001092198815,0.003000000108882428,0.003000053271437233,0.0030000520172486383,0.0029999469457451778,0.0029999481999337728
0.028800000000000003,8.092121156346582e-07,2.931562079636622e-25,-5.224719488672524e-08,2.0312738966495045e-05,-5.724904339253159e-24,2.8826202487880277e-06,1.4280031432830612e-25,4.369403357104869e-08,2.4395734455311733e-26,0.999999999999999,9.34226155107385e-24,2.9169418078742868e-06,2.0234806361588055e-24,0.0029991907883520487,0.0029991907883520487,0.0030008092125581136,0.0030008092125581136,0.0030000001097621166,0.0030000001094226823,0.0030000001097621166,0.0030000001094226823,0.003000052985717821,0.0030000517273297005,0.0029999472325571513,0.002999948490945272
0.028900000000000002,8.112398867742233e-07,2.9260097839688187e-25,-5.195882830259928e-08,2.0233749111938717e-05,-5.559049402835691e-24,2.885564931251507e-06,1.4326639728418521e-25,4.383985047570455e-08,2.4495658479374596e-26,0.999999999999999,9.298306150301355e-24,2.9155888392698693e-06,1.9947340382107104e-24,0.002999188760575874,0.002999188760575874,0.0030008112403242726,0.0030008112403242726,0.003000000110305753,0.0030000001099643324,0.003000000110305753,0.0030000001099643324,0.003000052699999784,0.0030000514374121357,0.0029999475193704904,0.002999948781958138
0.029,8.132676579137882e-07,2.9204574883010153e-25,-5.167046171847332e-08,2.015475925738239e-05,-5.393194466418223e-24,2.8885096137149864e-06,1.4373248024006433e-25,4.39856673803604e-08,2.4595582503437463e-26,0.999999999999999,9.25435074952886e-24,2.914235870665452e-06,1.9659874402626157e-24,0.0029991867327997246,0.0029991867327997246,0.003000813268090462,0.003000813268090462,0.00300000011085079,0.003000000110507378,0.00300000011085079,0.003000000110507378,0.00300005241428312,0.003000051147495946,0.0029999478061851982,0.0029999490729723717
0.0291,8.152377694633515e-07,2.9193109351158905e-25,-5.138039409721732e-08,2.0074363560774782e-05,-4.838684884009814e-24,2.89095665156314e-06,1.4418255864700141e-25,4.413098684645097e-08,2.4696332670025832e-26,0.999999999999999,9.209624429909082e-24,2.9128499491423262e-06,1.9626764682437144e-24,0.0029991847626831673,0.0029991847626831673,0.003000815238197064,0.003000815238197064,0.003000000111381518,0.003000000111036136,0.003000000111381518,0.003000000111036136,0.0030000521268439486,0.0030000508558715748,0.002999948094693823,0.0029999493656661974
0.0292,8.171849521106015e-07,2.919916368703473e-25,-5.108965004183848e-08,1.99934088172669e-05,-4.1296229641453486e-24,2.8932057961420004e-06,1.4462627268785047e-25,4.427610850121008e-08,2.4797411360304082e-26,0.9999999999999991,9.164591546837498e-24,2.911450923567403e-06,1.969480222711593e-24,0.0029991828154955218,0.0029991828154955218,0.0030008171853747757,0.0030008171853747757,0.003000000111907304,0.003000000111559959,0.003000000111907304,0.003000000111559959,0.0030000518387205345,0.003000050563568657,0.002999948383876777,0.002999949659028654
0.029300000000000003,8.191321347578515e-07,2.9205218022910556e-25,-5.0798905986459636e-08,1.991245407375902e-05,-3.42056104428086e-24,2.895454940720861e-06,1.4506998672869949e-25,4.442123015596919e-08,2.489849005058233e-26,0.9999999999999991,9.119558663765912e-24,2.9100518979924797e-06,1.976283977179472e-24,0.0029991808683079084,0.0029991808683079084,0.003000819132552516,0.003000819132552516,0.003000000112434386,0.003000000112085072,0.003000000112434386,0.003000000112085072,0.003000051550598389,0.0030000502712670078,0.002999948673060993,0.002999949952392374
0.029400000000000003,8.210793174051016e-07,2.9211272358786383e-25,-5.05081619310808e-08,1.9831499330251138e-05,-2.7114991244163947e-24,2.8977040852997215e-06,1.455137007695485e-25,4.4566351810728294e-08,2.4999568740860573e-26,0.9999999999999991,9.074525780694327e-24,2.9086528724175567e-06,1.98308773164735e-24,0.0029991789211203206,0.0029991789211203206,0.003000821079730287,0.003000821079730287,0.003000000112962763,0.003000000112611475,0.003000000112962763,0.003000000112611475,0.0030000512624775103,0.0030000499789666255,0.0029999489622464697,0.0029999502457573545
0.029500000000000002,8.230265000523515e-07,2.9217326694662206e-25,-5.021741787570196e-08,1.9750544586743257e-05,-2.0024372045519303e-24,2.8999532298785818e-06,1.4595741481039751e-25,4.471147346548739e-08,2.5100647431138818e-26,0.9999999999999991,9.029492897622743e-24,2.9072538468426336e-06,1.9898914861152286e-24,0.0029991769739327605,0.0029991769739327605,0.0030008230269080866,0.0030008230269080866,0.003000000113492435,0.0030000001131391674,0.003000000113492435,0.0030000001131391674,0.003000050974357899,0.0030000496866675105,0.002999949251433207,0.0029999505391235955
0.0296,8.249736826996015e-07,2.9223381030538034e-25,-4.992667382032312e-08,1.9669589843235375e-05,-1.2933752846874655e-24,2.902202374457442e-06,1.464011288512465e-25,4.4856595120246494e-08,2.5201726121417062e-26,0.9999999999999991,8.984460014551159e-24,2.9058548212677106e-06,1.996695240583107e-24,0.0029991750267452278,0.0029991750267452278,0.0030008249740859144,0.0030008249740859144,0.0030000001140234015,0.0030000001136681483,0.0030000001140234015,0.0030000001136681483,0.0030000506862395524,0.0030000493943696622,0.002999949540621205,0.0029999508324910955
