time,r_b_x,r_b_y,r_b_z,v_b_x,v_b_y,v_b_z,a_b_x,a_b_y,a_b_z,omega_b_x,omega_b_y,omega_b_z,dot_omega_b_x,dot_omega_b_y,dot_omega_b_z,g_b_x,g_b_y,g_b_z
0.0494,0.0999822352380809,0.0,0.0,0.05921402233828588,0.0,0.0,-98.17011533057034,0.0,-10.000644905534179,0.0,1.7840418397736117,0.0,0.0,-16.03144263243039,0.0,0.9942048009469013,0.0,-9.759490602166393
0.0495,0.09998766324816606,0.0,0.0,0.04934591150355938,0.0,0.0,-98.17365994777408,0.0,-10.018694719529787,0.0,1.782437286887567,0.0,0.0,-16.059602419432604,0.0,0.9959451367931275,0.0,-9.759313156390576
0.049600000000000005,0.09999210442038162,0.0,0.0,0.03947731364466189,0.0,0.0,-98.17623394492121,0.0,-10.036631295800081,0.0,1.7808299192897252,0.0,0.0,-16.087736845818988,0.0,0.997683873689861,0.0,-9.759135560498132
0.0497,0.099995558710895,0.0,0.0,0.02960832616048792,0.0,0.0,-98.1778373421876,0.0,-10.054454082515644,0.0,1.7792197395184033,0.0,0.0,-16.1158458671784,0.0,0.9994210089218464,0.0,-9.758957815613595
0.049800000000000004,0.09999802608561371,0.0,0.0,0.019739046454164688,0.0,0.0,-98.17847016951576,0.0,-10.072162529786274,0.0,1.7776067501162895,0.0,0.0,-16.143929439451643,0.0,1.0011565397767295,0.0,-9.7587799228624
0.0499,0.09999950652018583,0.0,0.0,0.009869571931456211,0.0,0.0,-98.17813246868374,0.0,-10.089756089885178,0.0,1.775990953630513,0.0,0.0,-16.17198751857618,0.0,1.002890463545061,0.0,-9.758601883370915
0.05,0.1,0.0,0.0,0.0,0.0,0.0,-98.17682428916127,0.0,-10.107234216835828,0.0,1.7743723526125743,0.0,0.0,-16.20002006083587,0.0,1.0046227775203018,0.0,-9.758423698266405
0.050100000000000006,0.09999950652018583,0.0,0.0,-0.009869571931456211,0.0,0.0,-98.17454568983362,0.0,-10.124596366599405,0.0,1.7727509496183458,0.0,0.0,-16.22802702008763,0.0,1.006353478998824,0.0,-9.758245368677043
0.0502,0.09999802608561371,0.0,0.0,-0.019739046454164688,0.0,0.0,-98.17129674072487,0.0,-10.141841997264068,0.0,1.7711267472085568,0.0,0.0,-16.256008352270033,0.0,1.0080825652799175,0.0,-9.758066895731893
0.050300000000000004,0.099995558710895,0.0,0.0,-0.02960832616048792,0.0,0.0,-98.16707752127039,0.0,-10.158970568878898,0.0,1.7694997479478918,0.0,0.0,-16.283964015401107,0.0,1.009810033665793,0.0,-9.757888280560907
0.0504,0.09999210442038162,0.0,0.0,-0.03947731364466189,0.0,0.0,-98.16188811858929,0.0,-10.175981543285953,0.0,1.7678699544054766,0.0,0.0,-16.311893963685264,0.0,1.0115358814615845,0.0,-9.757709524294919
0.0505,0.09998766324816606,0.0,0.0,-0.04934591150355938,0.0,0.0,-98.15572863162342,0.0,-10.192874384559708,0.0,1.7662373691551547,0.0,0.0,-16.3397981520208,0.0,1.0132601059753552,0.0,-9.757530628065629
0.0506,0.0999822352380809,0.0,0.0,-0.05921402233828588,0.0,0.0,-98.14859916906488,0.0,-10.209648558804686,0.0,1.7646019947750724,0.0,0.0,-16.367676538079355,0.0,1.0149827045180992,0.0,-9.757351593005609
0.0507,0.0999758204436984,0.0,0.0,-0.06908154875452654,0.0,0.0,-98.14049984728324,0.0,-10.226303533950889,0.0,1.7629638338475389,0.0,0.0,-16.395529079532565,0.0,1.016703674403747,0.0,-9.757172420248292
0.050800000000000005,0.09996841892833,0.0,0.0,-0.07894839336372583,0.0,0.0,-98.13143079411952,0.0,-10.2428387801593,0.0,1.7613228889591659,0.0,0.0,-16.423355729544564,0.0,1.018423012949168,0.0,-9.756993110927954
0.0509,0.09996003076502566,0.0,0.0,-0.08881445878419769,0.0,0.0,-98.12139214646838,0.0,-10.259253769581967,0.0,1.75967916270163,0.0,0.0,-16.451156441971147,0.0,1.0201407174741748,0.0,-9.756813666179717
0.051000000000000004,0.09995065603657316,0.0,0.0,-0.09867964764181947,0.0,0.0,-98.11038405027625,0.0,-10.27554797637248,0.0,1.7580326576707717,0.0,0.0,-16.478931176219234,0.0,1.0218567853015268,0.0,-9.756634087139544
0.0511,0.0999402948354973,0.0,0.0,-0.10854386257114212,0.0,0.0,-98.09840666226438,0.0,-10.291720876877406,0.0,1.756383376466386,0.0,0.0,-16.50667989031018,0.0,1.0235712137569344,0.0,-9.756454374944218
0.0512,0.09992894726405893,0.0,0.0,-0.11840700621643108,0.0,0.0,-98.08546014751147,0.0,-10.307771949394402,0.0,1.7547313216927096,0.0,0.0,-16.53440253809868,0.0,1.0252840001690622,0.0,-9.756274530731355
0.051300000000000005,0.09991661343425401,0.0,0.0,-0.1282689812322907,0.0,0.0,-98.07154468083169,0.0,-10.323700674327272,0.0,1.7530764959587664,0.0,0.0,-16.562099074483026,0.0,1.0269951418695322,0.0,-9.75609455563938
0.0514,0.09990329346781247,0.0,0.0,-0.13812969028498268,0.0,0.0,-98.056660449533,0.0,-10.339506534487997,0.0,1.751418901877813,0.0,0.0,-16.589769456787362,0.0,1.0287046361929282,0.0,-9.75591445080753
0.051500000000000004,0.09988898749619701,0.0,0.0,-0.1479890360536057,0.0,0.0,-98.04080764720406,0.0,-10.355189014454119,0.0,1.7497585420674089,0.0,0.0,-16.61741364199165,0.0,1.0304124804768002,0.0,-9.755734217375833
0.0516,0.09987369566060175,0.0,0.0,-0.15784692123016475,0.0,0.0,-98.0239864761279,0.0,-10.370747600832152,0.0,1.7480954191494147,0.0,0.0,-16.645031586729473,0.0,1.0321186720616666,0.0,-9.755553856485118
0.0517,0.09985741811195098,0.0,0.0,-0.16770324852123653,0.0,0.0,-98.0061971517648,0.0,-10.386181782742854,0.0,1.746429535750063,0.0,0.0,-16.67262324658858,0.0,1.0338232082910184,0.0,-9.755373369277
0.051800000000000006,0.0998401550108975,0.0,0.0,-0.17755792064894083,0.0,0.0,-97.98743989826484,0.0,-10.401491051358995,0.0,1.744760894500097,0.0,0.0,-16.700188577508655,0.0,1.035526086511323,0.0,-9.755192756893868
0.0519,0.09982190652782119,0.0,0.0,-0.18741084035170386,0.0,0.0,-97.9677149481209,0.0,-10.416674899878595,0.0,1.7430894980345613,0.0,0.0,-16.72772753681717,0.0,1.0372273040720277,0.0,-9.75501202047888
